rank,name,confed,off,def,spi
134,Sierra Leone,CAF,0.97,1.67,30.11
135,Comoros,CAF,0.93,1.63,29.77
136,Thailand,AFC,0.9,1.59,29.77
137,Ethiopia,CAF,0.73,1.36,29.68
138,North Korea,AFC,0.87,1.59,28.99
139,Niger,CAF,0.85,1.58,28.75
140,Palestine,AFC,0.77,1.47,28.47
141,Moldova,UEFA,0.81,1.55,28.12
142,Kyrgyzstan,AFC,0.85,1.62,28.08
143,Faroe Islands,UEFA,0.87,1.7,27.34
144,Latvia,UEFA,0.82,1.65,26.9
145,Turkmenistan,AFC,0.87,1.73,26.68
146,Fiji,OFC,0.67,1.45,26.35
147,Martinique,CONCACAF,0.94,1.85,26.34
148,Chad,CAF,0.86,1.78,25.76
149,Guyana,CONCACAF,1.13,2.22,25.06
150,Belize,CONCACAF,0.79,1.73,24.84
151,Suriname,CONCACAF,0.76,1.71,24.52
152,Antigua and Barbuda,CONCACAF,1.09,2.2,24.48
153,Solomon Islands,OFC,0.69,1.71,22.71
154,Zanzibar,CAF,0.49,1.47,21.39
155,South Sudan,CAF,0.71,1.84,21.37
156,New Caledonia,OFC,0.69,1.85,20.92
157,Malaysia,AFC,0.76,1.98,20.71
158,Swaziland,CAF,0.61,1.73,20.63
159,Barbados,CONCACAF,0.54,1.61,20.53
160,Dominica,CONCACAF,0.55,1.65,20.29
161,Puerto Rico,CONCACAF,0.74,2.0,19.89
162,Eritrea,CAF,0.79,2.1,19.77
163,Tahiti,OFC,0.81,2.15,19.56
164,Philippines,AFC,0.72,2.02,19.31
165,Malta,UEFA,0.65,1.96,18.54
166,India,AFC,0.54,1.82,17.9
167,Singapore,AFC,0.65,2.05,17.47
168,Tajikistan,AFC,0.68,2.12,17.11
169,Sao Tome and Principe,CAF,0.76,2.33,16.53
170,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
171,Hong Kong,AFC,0.34,1.57,16.04
172,Grenada,CONCACAF,0.68,2.22,16.04
173,Vanuatu,OFC,0.64,2.17,15.99
174,Mauritius,CAF,0.7,2.31,15.5
175,St. Lucia,CONCACAF,0.64,2.24,15.12
176,Liechtenstein,UEFA,0.62,2.25,14.62
177,Gibraltar,UEFA,0.54,2.12,14.54
178,Yemen,AFC,0.51,2.09,14.29
179,Andorra,UEFA,0.27,1.82,11.79
180,Afghanistan,AFC,0.53,2.46,11.07
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Indonesia,AFC,0.62,2.83,9.93
183,Myanmar,AFC,0.57,2.71,9.91
184,Montserrat,CONCACAF,0.81,3.24,9.65
185,Djibouti,CAF,0.62,2.86,9.59
186,Cayman Islands,CONCACAF,0.4,2.41,9.43
187,Papua New Guinea,OFC,0.6,2.88,9.16
188,Somalia,CAF,0.55,2.8,8.97
189,Bahamas,CONCACAF,0.73,3.44,7.5
190,Seychelles,CAF,0.41,2.8,7.04
191,Maldives,AFC,0.41,2.81,7.01
192,Bangladesh,AFC,0.25,2.46,6.78
193,French Guiana,CONCACAF,0.52,3.18,6.57
194,Nepal,AFC,0.23,2.48,6.39
195,Mongolia,AFC,0.25,2.72,5.41
196,San Marino,UEFA,0.28,2.95,4.8
197,Chinese Taipei,AFC,0.45,3.48,4.58
198,British Virgin Islands,CONCACAF,0.42,3.62,3.88
199,Bonaire,CONCACAF,0.37,3.59,3.5
200,Cambodia,AFC,0.28,3.35,3.44
201,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
202,Guam,AFC,0.51,4.42,2.48
203,Guadeloupe,CONCACAF,0.2,3.49,2.47
204,Anguilla,CONCACAF,0.35,4.08,2.29
205,Brunei,AFC,0.21,3.71,2.13
206,US Virgin Islands,CONCACAF,0.38,4.38,1.93
207,Sri Lanka,AFC,0.2,3.81,1.87
208,Pakistan,AFC,0.2,3.92,1.71
209,Laos,AFC,0.21,4.11,1.48
210,Bhutan,AFC,0.22,4.62,0.98
211,St. Martin,CONCACAF,0.23,4.89,0.81
212,Sint Maarten,CONCACAF,0.21,4.93,0.74
213,Tuvalu,OFC,0.38,5.62,0.7
214,Timor-Leste,AFC,0.33,5.56,0.64
215,Macau,AFC,0.2,5.11,0.6
216,Samoa,OFC,0.2,5.78,0.34
217,Tonga,OFC,0.2,6.08,0.26
